Línea 1: <START> 'start'
Línea 3: <INT> 'int'
Línea 3: <LBRACKET> '['
Línea 3: <RBRACKET> ']'
Línea 3: <IDENTIFIER> 'emptyIntArray'
Línea 3: <ASSIGN> '='
Línea 3: <LBRACE> '{'
Línea 3: <RBRACE> '}'
Línea 3: <SEMICOLON> ';'
Línea 4: <OUTPUT> 'output'
Línea 4: <GO> '->'
Línea 4: <STRING_LITERAL> '"emptyIntArray.length = "'
Línea 4: <PLUS> '+'
Línea 4: <IDENTIFIER> 'emptyIntArray'
Línea 4: <DOT> '.'
Línea 4: <IDENTIFIER> 'length'
Línea 4: <SEMICOLON> ';'
Línea 7: <INT> 'int'
Línea 7: <LBRACKET> '['
Línea 7: <RBRACKET> ']'
Línea 7: <IDENTIFIER> 'primes'
Línea 7: <ASSIGN> '='
Línea 7: <LBRACE> '{'
Línea 7: <NUMBER> '2'
Línea 7: <COMMA> ','
Línea 7: <NUMBER> '3'
Línea 7: <COMMA> ','
Línea 7: <NUMBER> '5'
Línea 7: <COMMA> ','
Línea 7: <NUMBER> '7'
Línea 7: <COMMA> ','
Línea 7: <NUMBER> '11'
Línea 7: <RBRACE> '}'
Línea 7: <SEMICOLON> ';'
Línea 8: <FOR> 'for'
Línea 8: <LPAREN> '('
Línea 8: <INT> 'int'
Línea 8: <IDENTIFIER> 'i'
Línea 8: <ASSIGN> '='
Línea 8: <NUMBER> '0'
Línea 8: <SEMICOLON> ';'
Línea 8: <IDENTIFIER> 'i'
Línea 8: <LT> '<'
Línea 8: <IDENTIFIER> 'primes'
Línea 8: <DOT> '.'
Línea 8: <IDENTIFIER> 'length'
Línea 8: <SEMICOLON> ';'
Línea 8: <IDENTIFIER> 'i'
Línea 8: <INCREMENT> '++'
Línea 8: <RPAREN> ')'
Línea 8: <LBRACE> '{'
Línea 9: <OUTPUT> 'output'
Línea 9: <GO> '->'
Línea 9: <STRING_LITERAL> '"primes["'
Línea 9: <PLUS> '+'
Línea 9: <IDENTIFIER> 'i'
Línea 9: <PLUS> '+'
Línea 9: <STRING_LITERAL> '"] = "'
Línea 9: <PLUS> '+'
Línea 9: <IDENTIFIER> 'primes'
Línea 9: <LBRACKET> '['
Línea 9: <IDENTIFIER> 'i'
Línea 9: <RBRACKET> ']'
Línea 9: <SEMICOLON> ';'
Línea 10: <RBRACE> '}'
Línea 13: <IDENTIFIER> 'primes'
Línea 13: <LBRACKET> '['
Línea 13: <NUMBER> '2'
Línea 13: <RBRACKET> ']'
Línea 13: <ASSIGN> '='
Línea 13: <NUMBER> '13'
Línea 13: <SEMICOLON> ';'
Línea 14: <OUTPUT> 'output'
Línea 14: <GO> '->'
Línea 14: <STRING_LITERAL> '"primes[2] modificado = "'
Línea 14: <PLUS> '+'
Línea 14: <IDENTIFIER> 'primes'
Línea 14: <LBRACKET> '['
Línea 14: <NUMBER> '2'
Línea 14: <RBRACKET> ']'
Línea 14: <SEMICOLON> ';'
Línea 17: <FUNCTION> 'ft'
Línea 17: <IDENTIFIER> 'sumArray'
Línea 17: <LPAREN> '('
Línea 17: <INT> 'int'
